gene_name	localisation
MORN1	Mitochondria
MORN1	Nucleoplasm
CACYBP	Cytosol
SCP2	Peroxisomes
PAPPA2	Endoplasmic-reticulum
PAPPA2	Vesicles
FAM20B	Golgi-apparatus
TCEANC2	Nucleoplasm
LRRC42	Nucleoplasm
WRAP73	Mid-piece
WRAP73	Principal-piece
MRPL37	Mitochondria
CHD5	Nuclear-speckles
CHD5	Nucleoplasm
QSOX1	Golgi-apparatus
STXBP3	Nucleoplasm
ERRFI1	Cytosol
PARK7	Cytosol
PARK7	Nucleoplasm
ELAPOR1	Plasma-membrane
AMPD2	Cytosol
SRSF4	Nuclear-speckles
MECR	Mitochondria
KCNC4	Cytosol
KCNC4	Nucleoli
EDEM3	Endoplasmic-reticulum
WDR77	Cytosol
WDR77	Nucleoplasm
ATP5PB	Mitochondria
HDAC1	Nucleoplasm
S100PBP	Nuclear-speckles
RNF19B	Cytosol
SCAMP3	Vesicles
TRIM62	Focal-adhesion-sites
TRIM62	Vesicles
ASH1L	Golgi-apparatus
ASH1L	Nucleoplasm
DLGAP3	Endoplasmic-reticulum
SFPQ	Nucleoplasm
GON4L	Nuclear-bodies
GON4L	Nucleoplasm
LAMTOR2	Nucleoplasm
LAMTOR2	Vesicles
MEF2D	Nucleoplasm
SRM	Nucleoplasm
FBXO2	Cytosol
FBXO2	Nucleoplasm
C1orf21	Cytosol
C1orf21	Nucleoplasm
SWT1	Cytosol
MAD2L2	Nucleoplasm
DNAJC6	Cytosol
LEPR	Vesicles
IVNS1ABP	Cytosol
KIAA2013	Golgi-apparatus
MFN2	Mitochondria
MIIP	Nucleoplasm
SMG7	Cytosol
NCF2	Cytosol
PLA2G4A	Cytosol
GADD45A	Nuclear-speckles
WLS	Cytosol
WLS	Endoplasmic-reticulum
PRDM2	Golgi-apparatus
PRDM2	Nucleoplasm
RGS2	Cytosol
RO60	Cytosol
RO60	Primary-cilium
UCHL5	Cytosol
UCHL5	Nucleoplasm
BCAS2	Centrosome
BCAS2	Nuclear-speckles
SRSF11	Nuclear-speckles
OLFML3	Vesicles
CFHR3	Vesicles
CRYZ	Cytosol
PHTF1	Nuclear-bodies
CD2	Plasma-membrane
TTF2	Cytosol
KIF21B	Plasma-membrane
TMEM9	Vesicles
ADPRS	Nucleoplasm
WARS2	Mitochondria
HAO2	Cytosol
HAO2	Vesicles
MRPS15	Mitochondria
EXOC8	Cytosol
GNPAT	Cell-Junctions
GNPAT	Vesicles
TSNAX	Nucleoplasm
C1orf109	Cytosol
RRAGC	Nucleoplasm
RRAGC	Vesicles
LGALS8	Plasma-membrane
HPCAL4	Cytosol
MTR	Microtubules
MTR	Primary-cilium
BMP8B	Vesicles
MYCL	Nucleoplasm
SIPA1L2	Nuclear-bodies
SIPA1L2	Nuclear-membrane
SIPA1L2	Nucleoplasm
RLF	Nucleoplasm
ZNF684	Cytosol
RIMS3	Mitochondria
RIMS3	Nucleoli
AKT3	Cytosol
AKT3	Golgi-apparatus
AKT3	Nucleoplasm
ETV3	Nucleoplasm
ACADM	Mitochondria
ST6GALNAC5	Vesicles
CD48	Plasma-membrane
ADGRL2	Plasma-membrane
SDHB	Mitochondria
RPF1	Nucleoli
KDM5B	Nucleoplasm
UAP1	Cytosol
UAP1	Nucleoplasm
UAP1	Plasma-membrane
ACTL8	Cytosol
RGS4	Cytosol
KLHL12	Centriolar-satellite
KLHL12	Vesicles
SSX2IP	Basal-body
SSX2IP	Centriolar-satellite
SSX2IP	Centrosome
ZNHIT6	Nuclear-speckles
ZNHIT6	Vesicles
RBBP5	Nucleoli
RBBP5	Nucleoplasm
KIF17	Nucleoplasm
GPR89A	Endoplasmic-reticulum
CDK18	Actin-filaments
RAB29	Nuclear-membrane
RAB29	Vesicles
GALE	Cytosol
GALE	Golgi-apparatus
ID3	Nucleoplasm
CD46	Plasma-membrane
PRPF3	Nucleoplasm
P3H1	Vesicles
SLC2A1	Plasma-membrane
EBNA1BP2	Nucleoli
EBNA1BP2	Nucleoli-rim
CDC20	Cytosol
CDC20	Nucleoplasm
MPL	Plasma-membrane
ATP6V0B	Cytosol
B4GALT2	Golgi-apparatus
B4GALT2	Vesicles
ERI3	Cytosol
ERI3	Nucleoplasm
PTCH2	Plasma-membrane
AKR1A1	Cytosol
PRDX1	Mitochondria
PIK3R3	Cytosol
PIK3R3	Nucleoplasm
TSPAN1	Nucleoplasm
TSPAN1	Vesicles
BLZF1	Golgi-apparatus
CCDC181	Acrosome
CCDC181	Mid-piece
CCDC181	Nuclear-speckles
SLC19A2	Cytosol
FAAH	Cytosol
DR1	Nucleoplasm
CNN3	Actin-filaments
PRRC2C	Cytosol
F3	Vesicles
ABCD3	Peroxisomes
VAMP4	Golgi-apparatus
DPH5	Golgi-apparatus
PTBP2	Nucleoplasm
TNFSF4	Nucleoplasm
TNFSF4	Vesicles
PRDX6	Cytosol
PRDX6	Plasma-membrane
DARS2	Mitochondria
IRF6	Cytosol
PLPPR5	Plasma-membrane
RCAN3	Nuclear-speckles
SYF2	Nuclear-speckles
RSRP1	Nucleoplasm
RCOR3	Nucleoplasm
STMN1	Cytosol
MTFR1L	Mitochondria
NEK2	Centrosome
NEK2	Nucleoplasm
RPS6KA1	Cytosol
NSL1	Nuclear-speckles
PROX1	Nucleoplasm
ARID1A	Nucleoplasm
CENPF	Nucleoplasm
RPA2	Nuclear-bodies
RPA2	Nucleoplasm
PPP1R8	Nuclear-speckles
STX12	Golgi-apparatus
STX12	Nucleoplasm
STX12	Vesicles
SLC5A9	Actin-filaments
OSBPL9	Golgi-apparatus
ESYT2	Cytosol
ESYT2	Plasma-membrane
POLR1G	Nucleoli-fibrillar-center
POLR1G	Nucleoplasm
MESD	Endoplasmic-reticulum
RCN2	Endoplasmic-reticulum
CHRNB4	Endoplasmic-reticulum
MUC5B	Vesicles
STAG1	Nucleoplasm
STK11	Nucleoplasm
STK11	Primary-cilium
KMT2A	Nucleoplasm
IFT46	Actin-filaments
IFT46	Primary-cilium
IFT46	Principal-piece
MMP8	Vesicles
APOA1	Vesicles
ZNF541	Nucleoplasm
KPTN	Plasma-membrane
RPS25	Cytosol
RPS25	Endoplasmic-reticulum
KIF14	Cytosol
KIF14	End-piece
DDX59	Actin-filaments
CAMSAP2	Golgi-apparatus
CAMSAP2	Microtubule-ends
CRYGD	Cytosol
CRYGD	Vesicles
MREG	Vesicles
FASTKD2	Mitochondria
NRP2	Plasma-membrane
NRP2	Vesicles
CREB1	Nucleoplasm
KLF7	Nucleoplasm
TTR	Golgi-apparatus
C1orf54	Plasma-membrane
CA14	Plasma-membrane
DNAI7	Cytosol
IRAG2	Endoplasmic-reticulum
IRAG2	Plasma-membrane
SPCS2	Vesicles
USP35	Nucleoli-fibrillar-center
FILIP1	Actin-filaments
FILIP1	Plasma-membrane
CASP8AP2	Nuclear-bodies
CASP8AP2	Nucleoli
HMGN3	Nucleoplasm
UBE3D	Rods-and-Rings
CNR1	Plasma-membrane
SPACA1	Acrosome
SGIP1	Mitochondria
PHF3	Nucleoplasm
ADGB	Mid-piece
PLAGL1	Nuclear-bodies
FBXO30	Microtubules
TNFAIP3	Centrosome
TNFAIP3	Cytosol
AKAP7	Vesicles
RAB32	Cytosol
MYB	Nucleoplasm
ALDH8A1	Centrosome
SGK1	Nuclear-speckles
RNF146	Cytosol
RNF146	Plasma-membrane
CCN2	Golgi-apparatus
TCF21	Nucleoplasm
MED28	Nucleoplasm
SLC16A7	Plasma-membrane
RXYLT1	Golgi-apparatus
RXYLT1	Nucleoplasm
VAMP8	Golgi-apparatus
VAMP8	Plasma-membrane
DCLRE1B	Nuclear-bodies
DCLRE1B	Nucleoplasm
FOXO3	Nucleoplasm
RPN2	Endoplasmic-reticulum
TGIF2	Nucleoplasm
PKD2	Endoplasmic-reticulum
PKD2	Plasma-membrane
ABCG2	Plasma-membrane
SPP1	Golgi-apparatus
STBD1	Endoplasmic-reticulum
CCNI	Golgi-apparatus
RARRES1	Golgi-apparatus
MFSD1	Plasma-membrane
RAB3GAP2	Cytosol
UBN1	Nucleoplasm
KLF12	Nucleoplasm
UCHL3	Cytosol
UCHL3	Nucleoplasm
PCDH17	Cytosol
PCDH17	Vesicles
HS1BP3	Nucleoli
CCND2	Nucleoplasm
FGF23	Vesicles
ELL2	Nucleoplasm
DNAH7	Annulus
DNAH7	Mid-piece
GTF3C3	Nuclear-membrane
GTF3C3	Nucleoplasm
SATB2	Nucleoplasm
UBE2B	Cytosol
UBE2B	Nucleoplasm
UBE2B	Plasma-membrane
GDA	Nucleoplasm
KLF9	Nucleoplasm
TJP2	Cell-Junctions
TJP2	Plasma-membrane
ITGB1BP1	Nucleoplasm
CCDC92	Centrosome
CCDC92	Nucleoplasm
C1orf198	Cytosol
HEATR1	Nucleoli-fibrillar-center
PTBP3	Nucleoplasm
RAD23B	Nucleoplasm
FKBP15	Nucleoli
ABITRAM	Cytosol
ABITRAM	Nucleoplasm
DYNC2I2	Basal-body
DYNC2I2	Centrosome
DYNC2I2	Nucleoplasm
SET	Nucleoplasm
PTPA	Nucleoplasm
GLE1	Nuclear-membrane
RAB14	Vesicles
CNTRL	Basal-body
CNTRL	Centrosome
CNTRL	Flagellar-centriole
TRIM32	Intermediate-filaments
FBXW2	Nucleoplasm
NEK6	Cytosol
NEK6	Nucleoplasm
NDUFA8	Mitochondria
HDHD3	Nucleoli
RBM18	Nucleoplasm
HSDL2	Mitochondria
MAPKAP1	Nucleoplasm
INVS	Cytosol
INVS	Primary-cilium
GALNT12	Plasma-membrane
DENND1A	Cytosol
DENND1A	Vesicles
ALG2	Golgi-apparatus
VPS4B	Vesicles
ONECUT2	Nucleoplasm
C19orf25	Intermediate-filaments
YLPM1	Nuclear-speckles
DCAF4	Nucleoplasm
FCF1	Nucleoplasm
PGF	Nucleoplasm
IFI27L2	Cytosol
BBOF1	Nucleoplasm
ACYP1	Cytosol
IFT43	End-piece
IFT43	Microtubules
IFT43	Primary-cilium
IFT43	Principal-piece
DNAL1	Basal-body
DNAL1	Cytosol
DNAL1	Nucleoplasm
DNAL1	Principal-piece
IRF2BPL	Nucleoplasm
ACOT2	Mitochondria
MLH3	Nucleoplasm
TTLL5	Cytosol
TTLL5	Plasma-membrane
DLST	Nucleoplasm
PPP4R4	Cytosol
TGFB3	Vesicles
ZC2HC1C	Nuclear-speckles
SLIRP	Mitochondria
RBM25	Nuclear-speckles
ALDH6A1	Mitochondria
ESRRB	Nucleoplasm
EIF2B2	Focal-adhesion-sites
EIF2B2	Plasma-membrane
NRDE2	Mitochondria
NRDE2	Nucleoplasm
ZNF410	Nucleoplasm
RHOQ	Cytosol
RHOQ	Vesicles
SUPT7L	Nucleoplasm
KLHL29	Mitochondria
DNMT3A	Nucleoplasm
TMEM214	Cytosol
TMEM214	Endoplasmic-reticulum
TMEM214	Golgi-apparatus
ATAD2B	Nucleoplasm
FKBP1B	Golgi-apparatus
FKBP1B	Vesicles
ATL2	Endoplasmic-reticulum
YPEL5	Cytosol
FAM98A	Vesicles
YIPF4	Golgi-apparatus
AFTPH	Cytosol
LGALSL	Nucleoplasm
CNRIP1	Cytosol
BCL11A	Nucleoplasm
CRIPT	Nucleoli-fibrillar-center
EPCAM	Plasma-membrane
SLC17A5	Cytosol
SLC17A5	Plasma-membrane
OGFRL1	Golgi-apparatus
SLF2	Nucleoplasm
SLF2	Vesicles
ELOVL3	Cytosol
ELOVL3	Vesicles
IFIT3	Cytosol
IFIT3	Mitochondria
IFIT2	Vesicles
GPAM	Mitochondria
CUTC	Cytosol
CUTC	Nucleoplasm
PPP1R3C	Cytosol
PYROXD2	Mitochondria
CNNM1	Cytosol
CNNM1	Plasma-membrane
MXI1	Nucleoplasm
SMNDC1	Nucleoplasm
HELLS	Nucleoplasm
TCTN3	Microtubules
DENND10	Vesicles
AVPI1	Nucleoplasm
AVPI1	Plasma-membrane
WDR11	End-piece
WDR11	Microtubules
WDR11	Primary-cilium
ARMH3	Vesicles
KCNIP2	Vesicles
CFAP58	Principal-piece
GNA13	Cytosol
HOXB8	Nucleoplasm
KANSL1	Nucleoplasm
HOXB5	Nucleoplasm
HOXB3	Nucleoplasm
HOXB1	Nucleoplasm
DUSP1	Nucleoli
PANK3	Golgi-apparatus
MSX2	Nuclear-speckles
TEK	Plasma-membrane
RCL1	Nucleoplasm
CAAP1	Vesicles
EQTN	Actin-filaments
EQTN	Plasma-membrane
INSL4	Vesicles
CD274	Actin-filaments
CD274	Plasma-membrane
NUP43	Nuclear-speckles
NUP43	Nucleoplasm
MTHFD1L	Mitochondria
LRP11	Plasma-membrane
CCDC170	Golgi-apparatus
PCMT1	Cytosol
PLEKHG1	Nucleoplasm
MYCT1	Nucleoplasm
TASL	Nucleoplasm
WDR55	Nucleoplasm
PCDHB14	Vesicles
PCDHB12	Plasma-membrane
MRPS14	Mitochondria
SEC16B	Endoplasmic-reticulum
SEC16B	Plasma-membrane
GORAB	Golgi-apparatus
GORAB	Nucleoplasm
ACAT2	Cytosol
TTLL2	Nuclear-membrane
TTLL2	Nucleoli
SNX19	Mitochondria
MSANTD2	Nuclear-bodies
ARR3	Golgi-apparatus
NUDCD1	Nucleoplasm
ENY2	Mitochondria
ENY2	Nucleoplasm
MASTL	Nucleoplasm
KIAA1217	Cytosol
KIAA1217	Nucleoplasm
PLXDC2	Nuclear-bodies
EPC1	Nucleoplasm
IQSEC3	Cytosol
IQSEC3	Nucleoplasm
CCDC77	Nuclear-membrane
ENOX1	Plasma-membrane
PROSER1	Nucleoplasm
WBP4	Nucleoplasm
ELF1	Nucleoplasm
SMAD9	Nucleoplasm
HSPH1	Cytosol
ALG5	Cytosol
EXOSC8	Mitotic-chromosome
EXOSC8	Nucleoli-fibrillar-center
PAIP2	Vesicles
KDM3B	Nucleoplasm
EGR1	Nucleoplasm
SERP1	Endoplasmic-reticulum
PLS1	Plasma-membrane
ZFP30	Cytosol
NR2C1	Nucleoplasm
UTP20	Nucleoli
TMPO	Nuclear-membrane
ARL1	Golgi-apparatus
GLT8D2	Golgi-apparatus
GLT8D2	Vesicles
SOCS2	Endoplasmic-reticulum
NFYB	Nucleoplasm
WASHC3	Vesicles
APAF1	Cytosol
APAF1	Nucleoplasm
DUSP4	Nucleoplasm
CLU	Cytosol
PTK2B	Cytosol
PTK2B	Plasma-membrane
CHRNA2	Plasma-membrane
ADRA1A	Cytosol
PPP3CC	Cytosol
PDLIM2	Actin-filaments
PDLIM2	Focal-adhesion-sites
EPHX2	Cytosol
NPPB	Vesicles
UBIAD1	Vesicles
TARDBP	Nucleoplasm
TNFRSF8	Plasma-membrane
ZNF706	Plasma-membrane
LYPLA1	Cytosol
LYPLA1	Nucleoplasm
COPS5	Nucleoplasm
RDH10	Lipid-droplets
AKAP1	Mitochondria
COIL	Nuclear-bodies
TRIM25	Cytosol
TRIM25	Nucleoplasm
SCPEP1	Golgi-apparatus
TBX2	Nucleoplasm
SLC35B1	Endoplasmic-reticulum
TBX4	Vesicles
TEX14	Cytosol
FAM117A	Nucleoplasm
NCAPH	Cytosol
LRAT	Endoplasmic-reticulum
LRAT	Golgi-apparatus
TMEM131L	Vesicles
TENT4B	Cytosol
ADCY7	Plasma-membrane
CEP89	Cytosol
TSHZ3	Nucleoplasm
ECHDC2	Mitochondria
TAS2R10	Plasma-membrane
TAS2R10	Vesicles
PYROXD1	Nuclear-speckles
IAPP	Vesicles
BCL2L14	Cytosol
PSPC1	Nucleoplasm
ZNF549	Nucleoplasm
ZSCAN18	Nucleoplasm
ZNF211	Mitochondria
PDZRN3	Cytosol
LHX4	Nuclear-speckles
RNF2	Nucleoplasm
TRMT1L	Nucleoplasm
SEC22A	Golgi-apparatus
CSTA	Cytosol
CSTA	Nucleoplasm
DPPA4	Nucleoli
DPPA4	Nucleoli-rim
B4GALT4	Golgi-apparatus
NAA50	Nucleoli
KIF18A	Cytokinetic-bridge
KIF18A	Microtubules
DESI2	Vesicles
MAPK8IP1	Plasma-membrane
CRY2	Nuclear-speckles
DEPDC7	Nucleoli
CAT	Vesicles
PILRB	Mitochondria
ZMYM2	Endoplasmic-reticulum
ZMYM2	Nucleoplasm
GJB6	Cell-Junctions
TBC1D15	Cytosol
TBC1D15	Mitochondria
ADGRB2	Plasma-membrane
KHDRBS1	Nucleoplasm
TMEM39B	Vesicles
CCR2	Plasma-membrane
ZNF639	Nucleoplasm
SLITRK3	Mitochondria
PIK3CA	Cytosol
PIK3CA	Primary-cilium
PDS5A	Nucleoplasm
LIAS	Nucleoplasm
TMEM54	Vesicles
ZSCAN20	Nucleoplasm
LRIF1	Nucleoplasm
CLCC1	Endoplasmic-reticulum
GPSM2	Cytosol
GTDC1	Cytosol
ZRANB3	Nucleoplasm
ACVR2A	Cytosol
POLK	Nucleoplasm
SV2C	Nucleoplasm
SV2C	Vesicles
FLT3	Endoplasmic-reticulum
RPL21	Cytosol
RPL21	Endoplasmic-reticulum
RPL21	Nucleoli-fibrillar-center
MTIF3	Mitochondria
GTF3A	Nucleoplasm
RASL11A	Nuclear-bodies
UBL3	Centrosome
FYTTD1	Nuclear-speckles
FYTTD1	Nucleoplasm
MTERF4	Cytosol
MTERF4	Mitochondria
XPNPEP2	Cytosol
XPNPEP2	Plasma-membrane
SASH3	Plasma-membrane
OCRL	Microtubules
OCRL	Primary-cilium
MRPS2	Mitochondria
MYOG	Nucleoplasm
LAX1	Cytosol
LAX1	Plasma-membrane
PLG	Vesicles
KIAA1191	Nucleoplasm
COPA	Cytosol
COPA	Nucleoplasm
LY9	Plasma-membrane
RBBP6	Nuclear-speckles
ZC3H7A	Cytosol
ANXA11	Nucleoplasm
SHLD2	Nucleoplasm
ZNF205	Nucleoplasm
RPL5	Cytosol
RPL5	Endoplasmic-reticulum
SPATA1	Cytosol
SPATA1	Plasma-membrane
TRMT13	Nucleoplasm
TRMT13	Plasma-membrane
CCDC18	Nucleoplasm
RPAP2	Cytosol
RPAP2	Nucleoli
SLC66A2	Nucleoplasm
BBS9	Flagellar-centriole
BBS9	Mid-piece
BBS9	Primary-cilium
BBS9	Principal-piece
PMS2	Nucleoplasm
ZMIZ2	Nucleoplasm
OCM	Plasma-membrane
SEPTIN7	Actin-filaments
EEPD1	Nuclear-speckles
KLHL7	Cytosol
KLHL7	Nucleoplasm
HERPUD2	Nucleoli
HERPUD2	Nucleoli-rim
CBX3	Nucleoplasm
HNRNPA2B1	Nucleoplasm
NPY	Golgi-apparatus
HYCC1	Cytosol
HYCC1	Plasma-membrane
HOXA7	Nucleoplasm
FKBP9	Golgi-apparatus
NT5C3A	Cytosol
NT5C3A	Endoplasmic-reticulum
ARL4A	Cytosol
ARL4A	Nucleoplasm
CCZ1	Vesicles
POLM	Nucleoplasm
RAMP3	Plasma-membrane
SMU1	Vesicles
SLC25A51	Mitochondria
CLTA	Endosomes
CLTA	Lysosomes
CLTA	Vesicles
RECK	Plasma-membrane
SPINK4	Golgi-apparatus
SPINK4	Vesicles
ACO1	Cytosol
ACO1	Mitochondria
DNAI1	End-piece
DNAI1	Mid-piece
DCAF10	Nucleoli-fibrillar-center
KIAA1549	Nuclear-membrane
TRIM24	Nucleoplasm
CALD1	Actin-filaments
CALD1	Plasma-membrane
AKR1D1	Nucleoplasm
NUDT10	Cytosol
NEUROG3	Nuclear-speckles
PLAU	Golgi-apparatus
PLAU	Vesicles
SRGN	Golgi-apparatus
CHST3	Cytosol
CHST3	Golgi-apparatus
BICC1	Cytosol
CISD1	Mitochondria
EGR2	Nucleoplasm
ECD	Cytosol
ECD	Nucleoplasm
P4HA1	Endoplasmic-reticulum
SLC25A16	Mitochondria
ZWINT	Nuclear-bodies
ZWINT	Nucleoplasm
VPS26A	Endosomes
VPS26A	Lysosomes
RBM19	Nucleoli
CIT	Cytosol
IFT81	Cytosol
ACADS	Mitochondria
DDX54	Golgi-apparatus
DDX54	Nucleoli
DDX54	Nucleoplasm
MED13L	Nucleoplasm
CDKN2C	Cytosol
CDKN2C	Nucleoplasm
RASSF8	Cytosol
RASSF8	Mitochondria
BHLHE41	Nucleoplasm
SSPN	Nuclear-membrane
ITPR2	Endoplasmic-reticulum
ITPR2	Mid-piece
CCDC91	Acrosome
CCDC91	Golgi-apparatus
CCDC91	Nucleoplasm
NECAB1	Nucleoplasm
WWP1	Cytosol
ACOT9	Cytosol
ACOT9	Plasma-membrane
PRDX4	Endoplasmic-reticulum
DDX39A	Nuclear-speckles
PKN1	Plasma-membrane
TRIR	Nucleoplasm
ADGRE5	Plasma-membrane
WDR83	Nucleoplasm
WDR83	Vesicles
GIPC1	Cell-Junctions
GIPC1	Plasma-membrane
SPRYD7	Vesicles
EBPL	Endoplasmic-reticulum
ATP7B	Golgi-apparatus
ZC3H13	Nucleoplasm
NLN	Mitochondria
OPTN	Cytosol
ITIH5	Golgi-apparatus
ATF1	Nucleoplasm
TSFM	Mitochondria
NEUROD4	Nucleoplasm
ARHGAP9	Plasma-membrane
NCKAP1L	Cytosol
MMP19	Endoplasmic-reticulum
MMP19	Vesicles
PFDN5	Cytosol
PFDN5	Intermediate-filaments
SPATS2	Cytosol
ORMDL2	Endoplasmic-reticulum
NR4A1	Nucleoplasm
CDK2	Nucleoplasm
LRP1	Plasma-membrane
HOXC11	Nucleoplasm
NFE2	Actin-filaments
NFE2	Nucleoplasm
IKZF4	Nuclear-bodies
IKZF4	Nucleoplasm
SMUG1	Nucleoplasm
TUBA1B	Microtubules
EEF1AKMT3	Centrosome
KBTBD4	Nucleoplasm
SARDH	Mitochondria
DBH	Vesicles
ATPAF1	Mitochondria
STIL	Basal-body
STIL	Centrosome
STIL	Nucleoplasm
HJURP	Nucleoli
HJURP	Nucleoplasm
IL13RA2	Cell-Junctions
IL13RA2	Plasma-membrane
COL10A1	Endoplasmic-reticulum
AMD1	Nucleoplasm
NDUFAF4	Mitochondria
USP45	Cytosol
USP45	Nucleoplasm
MORF4L2	Nucleoplasm
NRK	Cytosol
NRK	Nucleoplasm
FAM199X	Golgi-apparatus
ESX1	Nuclear-speckles
MAGEA9	Golgi-apparatus
MAGEA9	Nucleoplasm
METTL8	Cytosol
TTC21B	Basal-body
TTC21B	Centriolar-satellite
TTC21B	Primary-cilium
NMI	Cytosol
NMI	Nucleoplasm
BAZ2B	Nucleoplasm
BATF3	Nucleoli
EXOSC9	Nucleoli
COQ8B	Mitochondria
PFKFB2	Nucleoplasm
GPR83	Primary-cilium
AGO2	Cytoplasmic-bodies
MXD4	Cytosol
CKS2	Cytosol
CKS2	Mitochondria
DAW1	End-piece
DAW1	Mid-piece
DAW1	Principal-piece
ACSL3	Nucleoli
ACSL3	Nucleoli-rim
CHPF	Cytosol
DNPEP	Cytosol
INHA	Vesicles
MOGAT1	Cytosol
OBSL1	Centrosome
FAM124B	Nucleoplasm
SLC12A4	Cell-Junctions
SLC12A4	Nucleoplasm
ENKD1	Basal-body
ENKD1	Centrosome
ENKD1	Plasma-membrane
GCNT7	Nuclear-bodies
GCNT7	Vesicles
CTCFL	Nuclear-bodies
CTCFL	Nucleoplasm
HMGB1P1	Nucleoplasm
FAM210B	Cytosol
FAM210B	Plasma-membrane
PI3	Plasma-membrane
SNX21	Vesicles
SLPI	Golgi-apparatus
TTPAL	Cytosol
TTPAL	Golgi-apparatus
PREX1	Cytosol
PREX1	Vesicles
KCNS1	Plasma-membrane
KCNS1	Vesicles
ARHGAP40	Cytosol
ARHGAP40	Plasma-membrane
SDC4	Golgi-apparatus
NCOA3	Nucleoplasm
NCOA5	Actin-filaments
NCOA5	Nucleoplasm
VAPB	Endoplasmic-reticulum
PARD6B	Cell-Junctions
PARD6B	Cytosol
CHD6	Nucleoplasm
PLCG1	Cytosol
PLCG1	Plasma-membrane
TOX2	Nucleoplasm
SRSF6	Nuclear-speckles
GDAP1L1	Endoplasmic-reticulum
ARFGEF2	Golgi-apparatus
ZNFX1	Mitochondria
CSE1L	Nucleoplasm
PEDS1-UBE2V1	Nucleoplasm
RAB22A	Golgi-apparatus
RAB22A	Vesicles
PTGIS	Endoplasmic-reticulum
STAU1	Cytosol
CDH26	Plasma-membrane
SNAI1	Nucleoplasm
STX16	Vesicles
PMEPA1	Vesicles
RNF114	Cytosol
RNF114	Plasma-membrane
DDX27	Nucleoli
C20orf85	Mid-piece
BCAS4	Cytosol
BCAS4	Intermediate-filaments
TP53TG5	Nucleoli
TP53TG5	Nucleoli-rim
NEURL2	Vesicles
MAGEA10	Nucleoplasm
MTRR	Cytosol
MTRR	Nucleoplasm
FASTKD3	Mitochondria
FASTKD3	Nucleoplasm
PEPD	Nucleoplasm
IQSEC2	Lipid-droplets
IQSEC2	Vesicles
VAMP7	Vesicles
STAMBP	Nucleoplasm
NAGK	Cytosol
MCEE	Nucleoli
PAIP2B	Cytosol
SNRNP27	Nucleoplasm
MPHOSPH10	Nucleoli
MPHOSPH10	Nucleoli-rim
ATP8A1	Cytosol
USP22	Nuclear-speckles
POF1B	Golgi-apparatus
HIF3A	Cytosol
HIF3A	Nucleoplasm
ZNF576	Golgi-apparatus
ZNF576	Nucleoplasm
ZNF45	Nucleoplasm
LYPD3	Endoplasmic-reticulum
LYPD3	Vesicles
NDP	Vesicles
USP9X	Cytosol
TRERF1	Nucleoplasm
PACSIN1	Nucleoplasm
PACSIN1	Vesicles
BTN2A2	Mitochondria
SIRT5	Mitochondria
WRNIP1	Nucleoplasm
RRP36	Nucleoli
RRP36	Nucleoplasm
SNRPC	Nucleoplasm
SERPINB6	Centrosome
XPO5	Nucleoplasm
PEX6	Golgi-apparatus
NQO2	Cytosol
OARD1	Nucleoli
OARD1	Nucleoplasm
UNC5CL	Cytosol
AARS2	Mitochondria
H1-1	Nucleoplasm
RPS10	Cytosol
MOCS1	Cytosol
H2BC11	Nucleoplasm
TBCC	Cytosol
SPDEF	Nucleoplasm
MAD2L1BP	Nucleoli
MAD2L1BP	Nucleoplasm
APOBEC2	Nucleoplasm
KLHDC3	Nucleoplasm
GNMT	Cytosol
DNAH8	Mid-piece
DNAH8	Principal-piece
TREM1	Golgi-apparatus
MEA1	Cytosol
MEA1	Nucleoplasm
COL21A1	Cytosol
CDKN1A	Nuclear-bodies
CDKN1A	Nucleoplasm
SOX4	Nucleoplasm
GLO1	Cytosol
GLO1	Nucleoplasm
GLO1	Plasma-membrane
CPNE5	Cytosol
KCNK17	Cytosol
KCNK17	Plasma-membrane
RREB1	Nuclear-speckles
SSR1	Endoplasmic-reticulum
RIOK1	Cytosol
RPP40	Nucleoplasm
ATXN1	Nucleoplasm
NUP153	Nuclear-membrane
DEK	Nucleoplasm
EEF1E1	Cytosol
EEF1E1	Nucleoplasm
RUNX2	Nucleoplasm
LRRFIP1	Cytosol
RAB17	Vesicles
EREG	Vesicles
TRIM51	Vesicles
MYRF	Nucleoplasm
SCGB2A1	Vesicles
AHNAK	Cytosol
AHNAK	Plasma-membrane
SH3TC1	Nucleoli
SH3TC1	Nucleoli-rim
BBS2	Vesicles
PHAF1	Nuclear-speckles
DOK4	Cytosol
TMTC4	Vesicles
ABCC4	Plasma-membrane
EFNB2	Nucleoplasm
SOX21	Nucleoplasm
HROB	Cytosol
HROB	Nucleoplasm
IRF1	Nucleoplasm
UPF3B	Cytosol
RNF113A	Nucleoplasm
SEPTIN6	Cytosol
NDUFA1	Cytosol
NDUFA1	Mitochondria
DMAC2L	Mitochondria
DMAC2L	Nucleoplasm
FAM193A	Cytosol
FAM193A	Plasma-membrane
GRK4	Cytosol
GRK4	Plasma-membrane
SOX9	Nucleoplasm
TEKT3	End-piece
TEKT3	Mid-piece
TEKT3	Principal-piece
HS3ST3B1	Vesicles
MRPS7	Mitochondria
GGA3	Golgi-apparatus
ARMC7	Cytosol
NUP85	Nucleoplasm
SLC25A19	Mitochondria
MIF4GD	Nucleoli
NT5C	Cytosol
MSTO1	Cytosol
